    #theta              beta_x             alpha_x              beta_y             alpha_y
     7.751250000         1.307786921        -1.101882849         3.909048385        0.9368456211
     7.837000000         1.323364496        -1.127388693         3.895678634        0.9763740896
     7.922750000         1.339329736        -1.153964817         3.881724812         1.017453686
     8.008500000         1.355701453        -1.182027534         3.867156411         1.061117032
     8.094250000         1.372501053        -1.211534425         3.851937963         1.107037913
     8.180000000         1.389750115        -1.242560665         3.836036208         1.155227885
     8.222500000         1.398472021        -1.258460191         3.827893112         1.179780934
     8.265000000         1.407312210        -1.274752084         3.819571222         1.204870085
     8.307500000         1.416272297        -1.291097017         3.811069915         1.229561094
     8.350000000         1.425354671        -1.308060357         3.802386567         1.255362334
     8.392500000         1.434561875        -1.325120803         3.793518245         1.280858312
     8.435000000         1.443896494        -1.342816649         3.784462037         1.307459982
     8.477500000         1.453360918        -1.360553261         3.775215649         1.333584703
     8.520000000         1.462956752        -1.378706789         3.765778924         1.360207125
     8.562500000         1.472687228        -1.397368872         3.756147570         1.387538106
     8.605000000         1.482554084        -1.416025037         3.746321225         1.414252965
     8.647500000         1.492558487        -1.435031566         3.736301013         1.441255659
     8.690000000         1.502701633        -1.454043254         3.726087958         1.467677968
     8.732500000         1.512986266        -1.473852998         3.715679261         1.495480006
     8.775000000         1.523415058        -1.493648500         3.705072363         1.522643695
     8.817500000         1.533988106        -1.513516695         3.694271018         1.549395216
     8.860000000         1.544706209        -1.533575930         3.683277177         1.576028414
     8.902500000         1.555569583        -1.553545195         3.672094108         1.601883547
     8.945000000         1.566579429        -1.573993084         3.660722653         1.628314498
     8.987500000         1.577736883        -1.594335133         3.649163732         1.653954897
     9.030000000         1.589042309        -1.614943928         3.637419994         1.679685103
     9.072500000         1.600496097        -1.635458148         3.625493893         1.704689683
     9.115000000         1.612097284        -1.655862424         3.613390801         1.728961873
     9.157500000         1.623845196        -1.676258595         3.601115235         1.752757863
     9.200000000         1.635738820        -1.696453436         3.588672253         1.775676275
     9.242500000         1.647777414        -1.716723616         3.576066091         1.798355282
     9.285000000         1.659959963        -1.736718335         3.563301359         1.820060576
     9.327500000         1.672284046        -1.756396360         3.550385430         1.840746666
     9.370000000         1.684747076        -1.775755016         3.537325721         1.860452490
     9.412500000         1.697346340        -1.794766364         3.524129572         1.879165002
     9.455000000         1.710078513        -1.813287074         3.510805264         1.896635066
     9.497500000         1.722940174        -1.831438088         3.497360903         1.913163952
     9.540000000         1.735925926        -1.848538732         3.483808215         1.927428179
     9.582500000         1.749030231        -1.865232523         3.470158774         1.940791508
     9.625000000         1.762248649        -1.881187737         3.456421483         1.952649993
     9.667500000         1.775575954        -1.896514154         3.442606394         1.963279967
     9.710000000         1.789007542        -1.911278965         3.428721923         1.972869279
     9.752500000         1.802534035        -1.924055921         3.414785242         1.978746921
     9.795000000         1.816146052        -1.936270301         3.400813001         1.983716452
     9.837500000         1.829837401        -1.947395387         3.386815245         1.986847816
     9.880000000         1.843602073        -1.958009284         3.372801282         1.989273375
     10.01707317         1.888369090        -1.982454832         3.327690473         1.981454319
     10.15414634         1.933534135        -1.997156674         3.282954268         1.960504844
     10.29121951         1.978815858        -1.997442197         3.238969868         1.919971038
     10.42829268         2.023950321        -1.989336155         3.196055171         1.871137118
     10.56536585         2.068745464        -1.972863596         3.154390885         1.814608792
     10.70243902         2.113025991        -1.949290172         3.114121813         1.752749545
     10.83951220         2.156657979        -1.920861674         3.075324913         1.689060486
     10.97658537         2.199551008        -1.889068561         3.038013203         1.625634798
     11.11365854         2.241625048        -1.853265832         3.002186557         1.561532833
     11.25073171         2.282808208        -1.814780261         2.967836313         1.498426684
     11.38780488         2.323039139        -1.773174758         2.934942753         1.435636925
     11.52487805         2.362257118        -1.728920899         2.903488419         1.373645892
     11.66195122         2.400408810        -1.682185521         2.873449513         1.312551897
     11.79902439         2.437443379        -1.633011533         2.844802209         1.252277614
     11.93609756         2.473313480        -1.581660630         2.817521658         1.193009888
     12.07317073         2.507972155        -1.527898283         2.791585509         1.134360030
     12.21024390         2.541370312        -1.471765417         2.766976642         1.076265520
     12.34731707         2.573461630        -1.413468971         2.743677558         1.018841130
     12.48439024         2.604204203        -1.353199915         2.721668776        0.9621695570
     12.62146341         2.633559468        -1.291071530         2.700930228        0.9062407771
     12.75853659         2.661490057        -1.227083666         2.681443621        0.8509245861
     12.89560976         2.687958881        -1.161269076         2.663193309        0.7961313046
     13.03268293         2.712930643        -1.093766631         2.646164713        0.7418725436
     13.16975610         2.736373158        -1.024729142         2.630343125        0.6881664906
     13.30682927         2.758257922       -0.9543492534         2.615713234        0.6350672346
     13.44390244         2.778558588       -0.8826436564         2.602260671        0.5824542505
     13.58097561         2.797250139       -0.8097322268         2.589972830        0.5303056197
     13.71804878         2.814308320       -0.7355808714         2.578839333        0.4784591973
     13.85512195         2.829709225       -0.6602737797         2.568852382        0.4268596516
     13.99219512         2.843430531       -0.5838895855         2.560005631        0.3754475925
     14.12926829         2.855451430       -0.5065074137         2.552294222        0.3241633116
     14.26634146         2.865753174       -0.4282561093         2.545714338        0.2729882599
     14.40341463         2.874319762       -0.3492786658         2.540262611        0.2219164053
     14.54048780         2.881137974       -0.2697074542         2.535936126        0.1709285376
     14.67756098         2.886197288       -0.1896786120         2.532732570        0.1200053569
     14.81463415         2.889490091       -0.1093448441         2.530650035        0.6914511634E-01
     14.95170732         2.891011613       -0.2883620343E-01     2.529687099        0.1832170153E-01
     15.08878049         2.890759527        0.5173050614E-01     2.529843223       -0.3250318385E-01
     15.22585366         2.888734100        0.1322111190         2.531118595       -0.8334149648E-01
     15.36292683         2.884938532        0.2124584140         2.533513847       -0.1342055257
     15.50000000         2.879378446        0.2923744996         2.537030502       -0.1851478869
     15.50000000         2.879378446        0.2923744996         2.537030502       -0.1851478869
     15.61846154         2.873158090        0.3610444788         2.540974732       -0.2292287124
     15.73692308         2.865633179        0.4292513013         2.545759677       -0.2733702118
     15.85538462         2.856812471        0.4969102213         2.551387170       -0.3175850243
     15.97384615         2.846706150        0.5639413610         2.557859409       -0.3618880583
     16.09230769         2.835326035        0.6302385403         2.565178750       -0.4062708553
     16.21076923         2.822685204        0.6957616065         2.573348037       -0.4507827612
     16.32923077         2.808797482        0.7604592725         2.582371041       -0.4954611677
     16.44769231         2.793677743        0.8242596726         2.592252177       -0.5403259291
     16.56615385         2.777341574        0.8871477547         2.602996837       -0.5854486186
     16.68461538         2.759804597        0.9491232624         2.614611993       -0.6309129510
     16.80307692         2.741083038         1.010112307         2.627105696       -0.6767364313
     16.92153846         2.721193890         1.070097687         2.640486949       -0.7229906569
     17.04000000         2.700154940         1.129004350         2.654765688       -0.7696894016
     17.15846154         2.677985906         1.186696788         2.669951646       -0.8167862231
     17.27692308         2.654708571         1.243086707         2.686054188       -0.8642774242
     17.39538462         2.630346219         1.298099251         2.703082811       -0.9121686089
     17.51384615         2.604922935         1.351719704         2.721047796       -0.9605243973
     17.63230769         2.578462866         1.403951643         2.739961003        -1.009432655
     17.75076923         2.550990745         1.454726558         2.759835368        -1.058905085
     17.86923077         2.522532857         1.503948883         2.780683860        -1.108920349
     17.98769231         2.493118246         1.551426459         2.802518066        -1.159343509
     18.10615385         2.462778333         1.597103752         2.825348460        -1.210182055
     18.22461538         2.431544441         1.641048082         2.849187132        -1.261584507
     18.34307692         2.399446198         1.683370292         2.874049722        -1.313758475
     18.46153846         2.366513944         1.723889826         2.899952724        -1.366570336
     18.58000000         2.332780572         1.762528953         2.926911365        -1.420011125
     18.69846154         2.298280808         1.799183999         2.954940304        -1.474019396
     18.81692308         2.263054945         1.833396328         2.984048698        -1.528077180
     18.93538462         2.227141302         1.865839311         3.014249938        -1.583139046
     19.05384615         2.190577027         1.895983009         3.045560760        -1.638583227
     19.17230769         2.153411502         1.923129202         3.077983455        -1.693548303
     19.29076923         2.115697380         1.947669621         3.111517112        -1.748583086
     19.40923077         2.077496445         1.968325252         3.146148261        -1.801857839
     19.52769231         2.038885228         1.984927800         3.181842534        -1.853113538
     19.64615385         1.999950758         1.996664346         3.218549297        -1.901011554
     19.76461538         1.960834029         1.998970417         3.256128681        -1.937847366
     19.88307692         1.921707651         1.993298164         3.294379412        -1.965253040
     20.00153846         1.882728770         1.979950972         3.333112005        -1.982986265
     20.12000000         1.844057496         1.958492496         3.372116280        -1.989369628
